Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock
Sensodyne Truth Brush Indian,Cosmetic Item,,,pcs,,Local,,76.00,NA,0,Inclusive,86.00,28
Kewshowan Truth Brush Bag,Cosmetic Item,,,pcs,,Local,,35.00,NA,0,Inclusive,40.00,25
Kewshowan Truth Brush pata,Cosmetic Item,,,pcs,,Local,,30.00,NA,0,Inclusive,35.00,6
Pantin Shampoo 340 ml,Cosmetic Item,,,pcs,,Local,,480.00,NA,0,Inclusive,530.00,1
Pantin Shampoo 180 ml,Cosmetic Item,,,pcs,,Local,,260.00,NA,0,Inclusive,286.00,5
Head and Shoulders Shampoo 340 ml,Cosmetic Item,,,pcs,,Local,,500.00,NA,0,Inclusive,550.00,3
Knife Bag,Cloth,,,pcs,,Local,,65.00,NA,0,Inclusive,72.00,4
Sensodyne Past Brush Free 150 g,Cosmetic Item,,,pcs,,Local,,295.00,NA,0,Inclusive,325.00,5
Civil Ful hata Mota Genji,Garments,,,pcs,,Local,,250.00,NA,0,Inclusive,280.00,6
VIP Civil Full Sleep Genji,Cloth,,,pcs,,Local,,430.00,NA,0,Inclusive,470.00,4
Indian Desing,Cloth,,,pcs,,Local,,580.00,NA,0,Inclusive,640.00,2
Adidas Half Genji,Cloth,,,pcs,,Local,,200.00,NA,0,Inclusive,230.00,2
Camo Colour Genji,Cloth,,,pcs,,Local,,280.00,NA,0,Inclusive,320.00,10
Civil Full Sleep Genji,Cloth,,,pcs,,Local,,220.00,NA,0,Inclusive,245.00,25
Cemo Half Genji,Cloth,,,pcs,,Local,,220.00,NA,0,Inclusive,240.00,5
Baby Sweet Colour Genji,Cloth,,,pcs,,Local,,220.00,NA,0,Inclusive,240.00,3
7 No Colar Genji Civil,Cloth,,,pcs,,Local,,420.00,NA,0,Inclusive,460.00,2
8 No Colar Genji,Cloth,,,pcs,,Local,,350.00,NA,0,Inclusive,400.00,1
13 No Colar Genji,Cloth,,,pcs,,Local,,570.00,NA,0,Inclusive,630.00,1
Commando Bag Small,Cloth,,,pcs,,Local,,950.00,NA,0,Inclusive,1050.00,3
Commando Bag Big,Cloth,,,pcs,,Local,,1100.00,NA,0,Inclusive,1200.00,2
Layer Short Perfume,Cosmetic Item,,,pcs,,Local,,300.00,NA,0,Inclusive,330.00,4
Double Blue Body Spray,Cosmetic Item,,,pcs,,Local,,290.00,NA,0,Inclusive,320.00,1
Blue For Man Body Spray,Cosmetic Item,,,pcs,,Local,,330.00,NA,0,Inclusive,360.00,6
Blue Lady Body Spray,Cosmetic Item,,,pcs,,Local,,330.00,NA,0,Inclusive,360.00,6
Yacht Men Body Spray,Cosmetic Item,,,pcs,,Local,,320.00,NA,0,Inclusive,350.00,5
Al Haramen Body Spray,Cosmetic Item,,,pcs,,Local,,330.00,NA,0,Inclusive,360.00,6
Imperial Saban  200 g,Cosmetic Item,,,pcs,,Local,,190.00,NA,0,Inclusive,210.00,2
Imperial Saban 100 g,Cosmetic Item,,,pcs,,Local,,125.00,NA,0,Inclusive,135.00,2
VIP Sweet Kartoon Big,Cosmetic Item,,,pcs,,Local,,94.00,NA,0,Inclusive,94.00,495
VIP Sweet Kartoon Small,Cosmetic Item,,,pcs,,Local,,53.00,NA,0,Inclusive,53.00,996
Nock Chocklet,Chocolate,,,pcs,,Local,,150.00,NA,0,Inclusive,170.00,1
Camo Mota Genji,Garments,,,pcs,,Local,,400.00,NA,0,Inclusive,450.00,6
Merril Baby Lotion,Cosmetic Item,,,pcs,,Local,,155.00,NA,0,Inclusive,170.00,26
Boot Brush Small,Cosmetic Item,,,pcs,,Local,,30.00,NA,0,Inclusive,35.00,23
Army Mug,Cosmetic Item,,,pcs,,Local,,60.00,NA,0,Inclusive,70.00,5
Gol Gola Bolchapa Ganji,Garments,,,pcs,,Local,,170.00,NA,0,Inclusive,200.00,3
Sajek Genji,Garments,,,pcs,,Local,,170.00,NA,0,Inclusive,200.00,2
Civil Tracksuit Set,Cosmetic Item,,,pcs,,Local,,750.00,NA,0,Inclusive,850.00,16
Serij Sent Genji,Cosmetic Item,,,pcs,,Local,,90.00,NA,0,Inclusive,120.00,2
Camo Gol Gola Genji,Garments,,,pcs,,Local,,180.00,NA,0,Inclusive,200.00,7
White Panjabi,Cosmetic Item,,,pcs,,Local,,450.00,NA,0,Inclusive,500.00,5
Panjabi Semi 1 No,Cosmetic Item,,,pcs,,Local,,710.00,NA,0,Inclusive,800.00,4
Panjabi Print 1 No,Cosmetic Item,,,pcs,,Local,,950.00,NA,0,Inclusive,1000.00,7
Panjabi Azmari ,Cosmetic Item,,,pcs,,Local,,350.00,NA,0,Inclusive,400.00,11
Panjabi One Colour,Cosmetic Item,,,pcs,,Local,,700.00,NA,0,Inclusive,800.00,4
Panjabi Battalion Colour,Garments,,,pcs,,Local,,1000.00,NA,0,Inclusive,1000.00,11
Panjabi Other Colour,Cosmetic Item,,,pcs,,Local,,650.00,NA,0,Inclusive,700.00,2
Mobile Parts Bag,Army item ,,,pcs,,Local,,150.00,NA,0,Inclusive,170.00,5
Orima-E-21,Electronic,,,pcs,,Local,,220.00,NA,0,Inclusive,240.00,1
Bag Hill,Cosmetic Item,,,pcs,,Local,,140.00,NA,0,Inclusive,150.00,10
Lear Cake,Fast Food,,,pcs,,Local,,8.50,NA,0,Inclusive,10.00,160
Winter Camo Full Ganji,Garments,,,pcs,,Local,,240.00,NA,0,Inclusive,270.00,5
Civile Ganji Full,Garments,,,pcs,,Local,,360.00,NA,0,Inclusive,410.00,3
Messwalk,Cosmetic Item,,,pcs,,Local,,17.00,NA,0,Inclusive,20.00,3
R C Q,Fast Food,,,pcs,,Local,,22.00,NA,0,Inclusive,25.00,35
Note Book Small,Stationary Item,,,pcs,,Local,,12.00,NA,0,Inclusive,15.00,46
Allus Chips ,Fast Food,,,pcs,,Local,,17.00,NA,0,Inclusive,20.00,30
Rings Chips,Fast Food,,,pcs,,Local,,8.00,NA,0,Inclusive,10.00,23
Disagon Ganji,Garments,,,pcs,,Local,,400.00,NA,0,Inclusive,450.00,5
Hudi Genji,Garments,,,pcs,,Local,,770.00,NA,0,Inclusive,900.00,5
Glesarin,Cosmetic Item,,,pcs,,Local,,60.00,NA,0,Inclusive,65.00,18
Sea Seed,food,,,pcs,,Local,,550.00,NA,0,Inclusive,600.00,1
Baby Trouser,Cloth,,,pcs,,Local,,200.00,NA,0,Inclusive,220.00,3
Comondo Beg (S),Cloth,,,pcs,,Local,,800.00,NA,0,Inclusive,900.00,2
Baby Ful Sleep Genji,Cloth,,,pcs,,Local,,200.00,NA,0,Inclusive,220.00,6
2 Chain Beg,Cloth,,,pcs,,Local,,580.00,NA,0,Inclusive,640.00,1
Mojo 1L,Drink,,,pcs,,Local,,58.00,NA,0,Inclusive,60.00,5
Mojo 200ml,Drink,,,pcs,,Local,,18.00,NA,0,Inclusive,20.00,96
Clemon 1L,Drink,,,pcs,,Local,,58.00,NA,0,Inclusive,90.00,4
Afi Juice,Drink,,,pcs,,Local,,28.00,NA,0,Inclusive,30.00,133
Liche 200 ml,Drink,,,pcs,,Local,,12.00,NA,0,Inclusive,15.00,61
Frotika,Drink,,,pcs,,Local,,27.00,NA,0,Inclusive,30.00,96
Turbo Juice,Drink,,,pcs,,Local,,27.00,NA,0,Inclusive,30.00,48
Hudston Juice,Drink,,,pcs,,Local,,37.00,NA,0,Inclusive,40.00,24
Mango Bar,Chocolate,,,pcs,,Local,,4.00,NA,0,Inclusive,5.00,79
Mango Icecream,Icecream,,,pcs,,Local,,47.00,NA,0,Inclusive,50.00,27
Semi long Genji (Indian) ,Cloth,,,pcs,,Local,,600.00,NA,0,Inclusive,660.00,2
