Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock
ID Clip,Army Item,,,pcs,,Local,,4.00,NA,0,Inclusive,5.00,54
ID Cover Mettal,Army Item,,,pcs,,Local,,30.00,NA,0,Inclusive,35.00,114
ID Cover China,Army Item,,,pcs,,Local,,32.00,NA,0,Inclusive,35.00,35
ID Cover Plastic,Army Item,,,pcs,,Local,,22.00,NA,0,Inclusive,30.00,45
Fog Bashi,Army Item,,,pcs,,Local,,48.00,NA,0,Inclusive,55.00,2
Pensil,Army Item,,,pcs,,Local,,4.72,NA,0,Inclusive,5.00,6
pensil Cutter,Army Item,,,pcs,,Local,,10.00,NA,0,Inclusive,12.00,12
Art Paper,Army Item,,,pcs,,Local,,8.50,NA,0,Inclusive,10.00,11
Sada Alastic,Army Item,,,Pair,,Local,,4.00,NA,0,Inclusive,5.00,102
Training & Fire card,Army Item,,,pcs,,Local,,16.00,NA,0,Inclusive,20.00,47
Sapay kata roshi,Army Item,,,pcs,,Local,,6.00,NA,0,Inclusive,8.00,9
Swing kit,Army Item,,,pcs,,Local,,55.00,NA,0,Inclusive,60.00,70
Track sute,Army Item,,,pcs,,Local,,600.00,NA,0,Inclusive,670.00,12
13 Item list,Army Item,,,pcs,,Local,,4.00,NA,0,Inclusive,5.00,33
Sil Lid,Army Item,,,Kg,,Local,,580.00,NA,0,Inclusive,610.00,0
Vuri stick,Army Item,,,pcs,,Local,,240.00,NA,0,Inclusive,260.00,9
Bottole Cover,Army Item,,,pcs,,Local,,42.00,NA,0,Inclusive,50.00,2
Sui Suta,Army Item,,,Pair,,Local,,14.00,NA,0,Inclusive,17.00,69
Butam set,Army Item,,,Packet,,Local,,6.00,NA,0,Inclusive,8.00,17
Line Bading,Army Item,,,pcs,,Local,,20.00,NA,0,Inclusive,25.00,15
Bad Card,Army Item,,,pcs,,Local,,40.00,NA,0,Inclusive,45.00,16
Barrett Cap,Army Item,,,pcs,,Local,,120.00,NA,0,Inclusive,140.00,24
Ribon,Army Item,,,pcs,,Local,,4.00,NA,0,Inclusive,5.00,30
Gimme,Army Item,,,pcs,,Local,,28.00,NA,0,Inclusive,35.00,0
Docu Cover,Army Item,,,pcs,,Local,,22.00,NA,0,Inclusive,30.00,13
Medal 50 Yrs,Army Item,,,pcs,,Local,,120.00,NA,0,Inclusive,130.00,14
Bootless,Army Item,,,Pair,,Local,,4.00,NA,0,Inclusive,5.00,142
Mestine,Army Item,,,pcs,,Local,,280.00,NA,0,Inclusive,300.00,14
Army Mog,Army Item,,,pcs,,Local,,60.00,NA,0,Inclusive,70.00,30
ID Cover Normal,Army Item,,,pcs,,Local,,7.00,NA,0,Inclusive,10.00,23
Jhola,Army Item,,,pcs,,Local,,430.00,NA,0,Inclusive,450.00,4
Tupi For Namaz-80,Cloth,,,pcs,,Local,,70.00,NA,0,Inclusive,80.00,4
Tupi For Namaz-35,Cloth,,,pcs,,Local,,32.00,NA,0,Inclusive,35.00,7
Quran Sharif,Stationary,,,pcs,,Local,,360.00,NA,0,Inclusive,390.00,5
Jainamaz-550,Cloth,,,pcs,,Local,,500.00,NA,0,Inclusive,550.00,2
Jainamaz-460,Cloth,,,pcs,,Local,,425.00,NA,0,Inclusive,460.00,3
Lock 25 mm,Stationary,,,pcs,,Local,,35.00,NA,0,Inclusive,40.00,14
Lock 32 mm,Stationary,,,pcs,,Local,,48.00,NA,0,Inclusive,55.00,5
Lock 38 mm,Stationary,,,pcs,,Local,,55.00,NA,0,Inclusive,60.00,3
Steel Scale,Stationary,,,pcs,,Local,,20.00,NA,0,Inclusive,30.00,11
Clip Board-100,Stationary,,,pcs,,Local,,90.00,NA,0,Inclusive,100.00,0
Clip Board-70,Stationary,,,pcs,,Local,,65.00,NA,0,Inclusive,70.00,19
Super Glue,Stationary,,,pcs,,Local,,16.00,NA,0,Inclusive,20.00,29
Talk Paper,Stationary,,,pcs,,Local,,52.00,NA,0,Inclusive,60.00,52
Eraser,Stationary,,,pcs,,Local,,4.00,NA,0,Inclusive,5.00,33
40 No Register,Stationary,,,pcs,,Local,,91.67,NA,0,Inclusive,100.00,12
Half Register,Stationary,,,pcs,,Local,,46.00,NA,0,Inclusive,50.00,108
pensil buttery-20,Stationary,,,pcs,,Local,,15.00,NA,0,Inclusive,20.00,14
pensil buttery-130,Stationary,,,Pair,,Local,,123.00,NA,0,Inclusive,130.00,6
Remote Battery,Stationary,,,Pair,,Local,,25.00,NA,0,Inclusive,30.00,7
Mom bati,Stationary,,,pcs,,Local,,8.00,NA,0,Inclusive,10.00,26
Solar Zaru-120,Stationary,,,Kg,,Local,,110.00,NA,0,Inclusive,120.00,18
Solar Zaru-50,Stationary,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,0
Fuler Zaru,Stationary,,,pcs,,Local,,60.00,NA,0,Inclusive,70.00,20
Lighter,Stationary,,,pcs,,Local,,13.00,NA,0,Inclusive,15.00,122
Kalo Tape,Stationary,,,pcs,,Local,,15.00,NA,0,Inclusive,20.00,6
Lal Tape,Stationary,,,pcs,,Local,,14.00,NA,0,Inclusive,20.00,14
Pani Tape,Stationary,,,pcs,,Local,,25.00,NA,0,Inclusive,30.00,0
Khaki Tape,Stationary,,,pcs,,Local,,25.00,NA,0,Inclusive,30.00,11
Nil Tape,Stationary,,,pcs,,Local,,28.00,NA,0,Inclusive,30.00,28
Costep-10,Stationary,,,pcs,,Local,,6.00,NA,0,Inclusive,10.00,3
Key Ring,Stationary,,,pcs,,Local,,14.00,NA,0,Inclusive,18.00,13
Board duster,Stationary,,,pcs,,Local,,10.83,NA,0,Inclusive,18.83,11
Threat Ball,Stationary,,,pcs,,Local,,5.00,NA,0,Inclusive,10.00,0
Punch File TX,Stationary,,,pcs,,Local,,15.28,NA,0,Inclusive,20.00,5
Test Marker,Stationary,,,pcs,,Local,,28.50,NA,0,Inclusive,35.00,5
ICA Gam,Stationary,,,pcs,,Local,,7.50,NA,0,Inclusive,10.00,36
Pen I 10,Stationary,,,pcs,,Local,,8.00,NA,0,Inclusive,10.00,10
Pen Black,Stationary,,,pcs,,Local,,4.28,NA,0,Inclusive,5.00,217
Pen Red,Stationary,,,pcs,,Local,,4.75,NA,0,Inclusive,5.00,141
Pen V7,Stationary,,,pcs,,Local,,100.00,NA,0,Inclusive,110.00,0
Stick Gum,Stationary,,,pcs,,Local,,10.00,NA,0,Inclusive,15.00,58
Cosmetic Bag,Stationary,,,pcs,,Local,,110.00,NA,0,Inclusive,125.00,0
Raf Khata,Stationary,,,pcs,,Local,,41.67,NA,0,Inclusive,50.00,35
24 No Register,Stationary,,,pcs,,Local,,62.50,NA,0,Inclusive,70.00,10
Mom Normal,Stationary,,,pcs,,Local,,320.00,NA,0,Inclusive,360.00,13
Signal Paper,Stationary,,,pcs,,Local,,3.80,NA,0,Inclusive,5.00,86
Correction Pen,Stationary,,,pcs,,Local,,33.33,NA,0,Inclusive,40.00,9
Gel Pen,Stationary,,,pcs,,Local,,11.67,NA,0,Inclusive,12.00,5
Gi Tar,Stationary,,,Kg,,Local,,166.00,NA,0,Inclusive,170.00,1
A4 Size Paper,Stationary,,,Pcs,,Local,,0.85,NA,0,Inclusive,0.95,0
Legal Paper,Stationary,,,Pcs,,Local,,0.98,NA,0,Inclusive,1.06,500
Legal Paper,Stationary,,,Pcs,,Local,,520.00,NA,0,Inclusive,550.00,1
Plastic Scale,Stationary,,,Pcs,,Local,,6.00,NA,0,Inclusive,10.00,5
Stapler Pin Small,Stationary,,,Pcs,,Local,,12.00,NA,0,Inclusive,15.00,3
Stapler pin Big,Stationary,,,Pcs,,Local,,17.50,NA,0,Inclusive,22.00,13
Stapler Matching small,Stationary,,,Pcs,,Local,,35.00,NA,0,Inclusive,40.00,9
Spray pen,Stationary,,,Pcs,,Local,,40.00,NA,0,Inclusive,45.00,2
Master Coil-75,Grossary,,,Pcs,,Local,,7.00,NA,0,Inclusive,7.50,750
Master Coil-45,Grossary,,,Pcs,,Local,,4.00,NA,0,Inclusive,4.50,260
All Time Max Coil-45,Grossary,,,Pcs,,Local,,4.00,NA,0,Inclusive,4.50,300
Hanger-25,Grossary,,,Pcs,,Local,,20.00,NA,0,Inclusive,25.00,41
Hanger-20,Grossary,,,Pcs,,Local,,16.00,NA,0,Inclusive,20.00,7
White Board Marker,Stationary,,,Pcs,,Local,,16.67,NA,0,Inclusive,25.00,48
CD Marker,Stationary,,,Pcs,,Local,,13.33,NA,0,Inclusive,20.00,17
Kechi,Stationary,,,Pcs,,Local,,25.00,NA,0,Inclusive,30.00,0
Permanent Marker,Stationary,,,Pcs,,Local,,15.83,NA,0,Inclusive,20.00,15
Combat Genji,Army Item,,,Pcs,,Local,,75.00,NA,0,Inclusive,85.00,48
Civil Pant,Cloth,,,Pcs,,Local,,90.00,NA,0,Inclusive,100.00,1
VIP Colur Genji,Cloth,,,Pcs,,Local,,190.00,NA,0,Inclusive,220.00,15
Mask Kapor,Cloth,,,Pcs,,Local,,35.00,NA,0,Inclusive,40.00,74
Underwear China-130,Cloth,,,Pcs,,Local,,115.00,NA,0,Inclusive,130.00,5
Civil  Moja Black,Cloth,,,Pcs,,Local,,45.00,NA,0,Inclusive,50.00,48
Civil  Moja Color-50,Cloth,,,Pcs,,Local,,39.00,NA,0,Inclusive,45.00,2
Civil  Moja Color-35,Cloth,,,Pcs,,Local,,30.00,NA,0,Inclusive,35.00,35
Oxfort Moja,Army Item,,,Pcs,,Local,,40.00,NA,0,Inclusive,45.00,60
Civil Gamsa,Cloth,,,Pcs,,Local,,105.00,NA,0,Inclusive,120.00,3
Child Genji,Cloth,,,Pcs,,Local,,105.00,NA,0,Inclusive,120.00,17
Bukey Lekha Army Genji,Cloth,,,Pcs,,Local,,90.00,NA,0,Inclusive,120.00,3
Underwear China-180,Cloth,,,Pcs,,Local,,165.00,NA,0,Inclusive,180.00,66
Khadi Punjabi,Cloth,,,Pcs,,Local,,480.00,NA,0,Inclusive,600.00,11
Tissue Genji,Cloth,,,Pcs,,Local,,175.00,NA,0,Inclusive,190.00,14
Rumal-20,Cloth,,,Pcs,,Local,,16.00,NA,0,Inclusive,20.00,0
Lungi,Cloth,,,Pcs,,Local,,350.00,NA,0,Inclusive,380.00,4
Army Color Gul Gola,Cloth,,,Pcs,,Local,,160.00,NA,0,Inclusive,180.00,20
Sena Toile,Army Item,,,Pcs,,Local,,100.00,NA,0,Inclusive,110.00,0
Long Muja,Army Item,,,Pcs,,Local,,70.00,NA,0,Inclusive,75.00,94
Ful Hata Genji Winter,Cloth,,,Pcs,,Local,,250.00,NA,0,Inclusive,280.00,1
Ful Hata Genji-260 tk,Cloth,,,Pcs,,Local,,240.00,NA,0,Inclusive,260.00,3
55 Div Genji,Army Item,,,Pcs,,Local,,220.00,NA,0,Inclusive,250.00,3
Sada Rumal,Army Item,,,Pcs,,Local,,8.00,NA,0,Inclusive,10.00,93
Hat Muja Sada,Army Item,,,Pcs,,Local,,35.00,NA,0,Inclusive,40.00,8
Short Moja Olive,Army Item,,,Pcs,,Local,,40.00,NA,0,Inclusive,50.00,33
Mask Surgical-80,Cosmetic,,,Pcs,,Local,,65.00,NA,0,Inclusive,80.00,15
Mask Surgical-100,Cosmetic,,,Pcs,,Local,,85.00,NA,0,Inclusive,100.00,6
Paijama,Cloth,,,Pcs,,Local,,250.00,NA,0,Inclusive,300.00,3
Punjabi-800,Cloth,,,Pcs,,Local,,620.00,NA,0,Inclusive,800.00,5
Panjabi-900,Cloth,,,Pcs,,Local,,750.00,NA,0,Inclusive,900.00,2
Sada Genji Army,Army Item,,,Pcs,,Local,,75.00,NA,0,Inclusive,85.00,19
Underwear Army,Army Item,,,Pcs,,Local,,43.00,NA,0,Inclusive,50.00,19
Half Sarkari-1,Army Item,,,Pcs,,Local,,128.00,NA,0,Inclusive,140.00,0
