Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sale Price,Opening Stock,Barcode,Discount Type,Discount
Bad Frame,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,35,,Percentage,0
Combed Gange,NA,,,pc ,50,Local,,70,NA 0%,0.00,Inclusive,80,0,,Percentage,0
Nepthen Tesu,NA,,,pc ,50,Local,,47.62,NA 0%,0.00,Inclusive,54,6,,Percentage,0
Hand Towel Tesu,NA,,,pc ,50,Local,,83.09,NA 0%,0.00,Inclusive,100,47,,Percentage,0
Sharf Fom,NA,,,pc ,50,Local,,130,NA 0%,0.00,Inclusive,150,0,,Percentage,0
Hand Wash Refel,NA,,,pc ,50,Local,,65.66,NA 0%,0.00,Inclusive,75,31,,Percentage,0
Gange (Kolar),NA,,,pc ,50,Local,,181.25,NA 0%,0.00,Inclusive,200,28,,Percentage,0
Gange (Cevil),NA,,,pc ,50,Local,,152.88,NA 0%,0.00,Inclusive,170,26,,Percentage,0
Gange Ful-Hata(Gol),NA,,,pc ,50,Local,,194,NA 0%,0.00,Inclusive,220,4,,Percentage,0
Toilet Tissue (Red),NA,,,pc ,50,Local,,27.5,NA 0%,0.00,Inclusive,35,0,,Percentage,0
Tala (25mm),NA,,,pc ,50,Local,,35,NA 0%,0.00,Inclusive,40,0,,Percentage,0
Bashi Fox-40,NA,,,pc ,50,Local,,45,NA 0%,0.00,Inclusive,50,26,,Percentage,0
Bhoot Kali (Big),NA,,,pc ,50,Local,,123.52,NA 0%,0.00,Inclusive,135,0,,Percentage,0
Bhoot Kali (Small),NA,,,pc ,50,Local,,76.6,NA 0%,0.00,Inclusive,85,0,,Percentage,0
Mane Back (Army),NA,,,pc ,50,Local,,80,NA 0%,0.00,Inclusive,90,39,,Percentage,0
Fast-Wash (Wheel),NA,,,pc ,50,Local,,36.11,NA 0%,0.00,Inclusive,40,0,,Percentage,0
Vim-Bar -75gm,NA,,,pc ,50,Local,,7.7,NA 0%,0.00,Inclusive,10,4,,Percentage,0
Clean-Clear,NA,,,pc ,50,Local,,135,NA 0%,0.00,Inclusive,145,0,,Percentage,0
Rexsona-Due,NA,,,pc ,50,Local,,185,NA 0%,0.00,Inclusive,195,0,,Percentage,0
Nevea-Due,NA,,,pc ,50,Local,,210,NA 0%,0.00,Inclusive,220,0,,Percentage,0
Small-Pent -(Sevil),NA,,,pc ,50,Local,,65,NA 0%,0.00,Inclusive,70,17,,Percentage,0
Bhoot-Brass,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,16,,Percentage,0
Water botol ,NA,,,pc ,50,Local,,40,NA 0%,0.00,Inclusive,45,6,,Percentage,0
Boot-Moja,NA,,,pc ,50,Local,,45,NA 0%,0.00,Inclusive,55,41,,Percentage,0
kamoflige crim ,NA,,,pc ,50,Local,,12,NA 0%,0.00,Inclusive,15,5,,Percentage,0
Madiplus tothpast,NA,,,pc ,50,Local,,40.83,NA 0%,0.00,Inclusive,48,23,,Percentage,0
madiplus  touthbrush ,NA,,,pc ,50,Local,,68,NA 0%,0.00,Inclusive,75,4,,Percentage,0
Air fresner ,NA,,,pc ,50,Local,,212,NA 0%,0.00,Inclusive,235,20,,Percentage,0
Ligal paper ,NA,,,pc ,50,Local,,480,NA 0%,0.00,Inclusive,550,600,,Percentage,0
Rakcin tap ,NA,,,pc ,50,Local,,54,NA 0%,0.00,Inclusive,65,0,,Percentage,0
 Fair khata ,NA,,,pc ,50,Local,,40,NA 0%,0.00,Inclusive,45,13,,Percentage,0
Tal-Paper,NA,,,goz,50,Local,,47,NA 0%,0.00,Inclusive,60,25,,Percentage,0
Clip bord dobol ,NA,,,pc ,50,Local,,33.33,NA 0%,0.00,Inclusive,40,0,,Percentage,0
Kolom rakha beg ,NA,,,pc ,50,Local,,16.66,NA 0%,0.00,Inclusive,20,0,,Percentage,0
Rupa gangi ,NA,,,pc ,50,Local,,85,NA 0%,0.00,Inclusive,100,22,,Percentage,0
Sorkari gangi Sada,NA,,,pc ,50,Local,,70,NA 0%,0.00,Inclusive,80,50,,Percentage,0
Shou moja ,NA,,,pc ,50,Local,,35,NA 0%,0.00,Inclusive,40,33,,Percentage,0
Kombet- blat ,NA,,,pc ,50,Local,,180,NA 0%,0.00,Inclusive,200,8,,Percentage,0
Shik rajer ,NA,,,pc ,50,Local,,35,NA 0%,0.00,Inclusive,40,6,,Percentage,0
Dimond gam ,NA,,,pc ,50,Local,,17,NA 0%,0.00,Inclusive,20,0,,Percentage,0
Blead,NA,,,pc ,50,Local,,20,NA 0%,0.00,Inclusive,25,2,,Percentage,0
kolom  ,NA,,,pc,50,Local,,4.02,NA 0%,0.00,Inclusive,5,234,,Percentage,0
Gel-Pen,NA,,,pc ,50,Local,,9,NA 0%,0.00,Inclusive,10,0,,Percentage,0
Pancil ,NA,,,pc,50,Local,,7.5,NA 0%,0.00,Inclusive,10,0,,Percentage,0
Maril saban 100g ,NA,,,pc,50,Local,,54,NA 0%,0.00,Inclusive,60,73,,Percentage,0
Maril saban 150g ,NA,,,pc,50,Local,,71,NA 0%,0.00,Inclusive,80,102,,Percentage,0
Chaka saban 500g ,NA,,,pc,50,Local,,63.58,NA 0%,0.00,Inclusive,70,0,,Percentage,0
Kool fom,NA,,,pc,50,Local,,160,NA 0%,0.00,Inclusive,180,4,,Percentage,0
Loves sent,NA,,,pc,50,Local,,290,NA 0%,0.00,Inclusive,320,5,,Percentage,0
Cute sent ,NA,,,pc,50,Local,,160,NA 0%,0.00,Inclusive,175,0,,Percentage,0
Foog sent ,NA,,,pc,50,Local,,270,NA 0%,0.00,Inclusive,290,2,,Percentage,0
Pt gangi ,NA,,,pc,50,Local,,70,NA 0%,0.00,Inclusive,80,90,,Percentage,0
Civel Rumal,NA,,,pc,50,Local,,8,NA 0%,0.00,Inclusive,10,47,,Percentage,0
Traning card ,NA,,,pc,50,Local,,10,NA 0%,0.00,Inclusive,15,92,,Percentage,0
Green cap,NA,,,pc,50,Local,,180,NA 0%,0.00,Inclusive,200,17,,Percentage,0
Madel 1 part ,NA,,,pc,50,Local,,85,NA 0%,0.00,Inclusive,90,46,,Percentage,0
Madel 2 part ,NA,,,pc,50,Local,,170,NA 0%,0.00,Inclusive,190,47,,Percentage,0
Note book ,NA,,,pc,50,Local,,15,NA 0%,0.00,Inclusive,20,78,,Percentage,0
Dib Shine,NA,,,pc,50,Local,,4.5,NA 0%,0.00,Inclusive,6,100,,Percentage,0
ID Cover ,NA,,,pc,50,Local,,20,NA 0%,0.00,Inclusive,30,62,,Percentage,0
Cell Dressing,NA,,,pc,50,Local,,25,NA 0%,0.00,Inclusive,30,75,,Percentage,0
Mog No-1,NA,,,pc,50,Local,,70,NA 0%,0.00,Inclusive,85,100,,Percentage,0
Rebon- 2part,NA,,,pc,50,Local,,9,NA 0%,0.00,Inclusive,10,58,,Percentage,0
Magune-Big,NA,,,pc,50,Local,,26,NA 0%,0.00,Inclusive,30,23,,Percentage,0
Line Bading,NA,,,pc,50,Local,,20,NA 0%,0.00,Inclusive,25,100,,Percentage,0
Pt-Kids Moja,NA,,,pc,50,Local,,33,NA 0%,0.00,Inclusive,40,100,,Percentage,0
Loviaa Foam,NA,,,pc,50,Local,,130,NA 0%,0.00,Inclusive,145,21,,Percentage,0
Gore-Hat,NA,,,pc,50,Local,,320,NA 0%,0.00,Inclusive,350,0,,Percentage,0
Kostap-Big,NA,,,pc,50,Local,,55,NA 0%,0.00,Inclusive,60,3,,Percentage,0
Gas-Light,NA,,,pc,50,Local,,12.6,NA 0%,0.00,Inclusive,15,22,,Percentage,0
Soressa-Tell-80ml,NA,,,pc,50,Local,,31.5,NA 0%,0.00,Inclusive,35,130,,Percentage,0
Soressa-Tell-250ml,NA,,,pc,50,Local,,81,NA 0%,0.00,Inclusive,85,68,,Percentage,0
Boot-Kale Big,NA,,,pc,50,Local,,122.25,NA 0%,0.00,Inclusive,135,36,,Percentage,0
Bellku-Sada,NA,,,pc,50,Local,,10,NA 0%,0.00,Inclusive,15,40,,Percentage,0
Shitroll-Cover,NA,,,pc,50,Local,,25,NA 0%,0.00,Inclusive,30,233,,Percentage,0
Toilet Tisu Sada,NA,,,pc,50,Local,,19.16,NA 0%,0.00,Inclusive,28,5,,Percentage,0
Toilet Tisu Red,NA,,,pc,50,Local,,27.5,NA 0%,0.00,Inclusive,38,5,,Percentage,0
