Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT,
Talk Paper,Stationery,,,pcs,,,,52.00,NA,0.00,Inclusive,60.00,95.00,,,,
Eraser,Stationery,,,pcs,,,,4.00,NA,0.00,Inclusive,5.00,43.00,,,,
40 No Register,Stationery,,,pcs,,,,91.67,NA,0.00,Inclusive,100.00,11.00,,,,
Half Register,Stationery,,,pcs,,,,46.00,NA,0.00,Inclusive,50.00,109.00,,,,
pensil buttery-20,Stationery,,,pcs,,,,15.00,NA,0.00,Inclusive,20.00,31.00,,,,
pensil buttery-175,Stationery,,,pcs,,,,170.00,NA,0.00,Inclusive,70.00,0.00,,,,
pensil buttery-130,Stationery,,,pcs,,,,123.00,NA,0.00,Inclusive,130.00,6.00,,,,
Remote Battery,Stationery,,,pcs,,,,25.00,NA,0.00,Inclusive,30.00,10.00,,,,
Mom bati,Stationery,,,pcs,,,,8.00,NA,0.00,Inclusive,10.00,48.00,,,,
Solar Zaru-120,Stationery,,,pcs,,,,110.00,NA,0.00,Inclusive,120.00,18.00,,,,
Solar Zaru-150,Stationery,,,pcs,,,,45.00,NA,0.00,Inclusive,50.00,5.00,,,,
Fuler Zaru,Stationery,,,pcs,,,,70.00,NA,0.00,Inclusive,80.00,0.00,,,,
Lighter,Stationery,,,pcs,,,,13.00,NA,0.00,Inclusive,15.00,79.00,,,,
Black Tape,Stationery,,,pcs,,,,15.00,NA,0.00,Inclusive,20.00,14.00,,,,
Red Tape,Stationery,,,pcs,,,,14.00,NA,0.00,Inclusive,20.00,19.00,,,,
Water Tape,Stationery,,,pcs,,,,25.00,NA,0.00,Inclusive,30.00,5.00,,,,
Khaki Tape,Stationery,,,pcs,,,,25.00,NA,0.00,Inclusive,30.00,17.00,,,,
Bainding Tape,Stationery,,,pcs,,,,28.00,NA,0.00,Inclusive,30.00,25.00,,,,
Costep-10,Stationery,,,pcs,,,,6.00,NA,0.00,Inclusive,10.00,18.00,,,,
Nail Cutter,Stationery,,,pcs,,,,25.00,NA,0.00,Inclusive,40.00,0.00,,,,
Key Ring,Stationery,,,pcs,,,,14.00,NA,0.00,Inclusive,18.00,16.00,,,,
Board duster,Stationery,,,pcs,,,,10.83,NA,0.00,Inclusive,18.83,14.00,,,,
Threat Ball,Stationery,,,pcs,,,,5.00,NA,0.00,Inclusive,10.00,1.00,,,,
Punch File TX,Stationery,,,pcs,,,,15.28,NA,0.00,Inclusive,20.00,5.00,,,,
Text Marker,Stationery,,,pcs,,,,28.50,NA,0.00,Inclusive,35.00,6.00,,,,
Aika Gum,Stationery,,,pcs,,,,7.50,NA,0.00,Inclusive,10.00,20.00,,,,
Pen Black,Stationery,,,pcs,,,,4.28,NA,0.00,Inclusive,5.00,155.00,,,,
Pen Red,Stationery,,,pcs,,,,4.75,NA,0.00,Inclusive,5.00,11.00,,,,
Stick Gum,Stationery,,,pcs,,,,10.00,NA,0.00,Inclusive,15.00,71.00,,,,
Cosmetic Bag,Stationery,,,pcs,,,,110.00,NA,0.00,Inclusive,125.00,1.00,,,,
Rough Book-50,Stationery,,,pcs,,,,41.00,NA,0.00,Inclusive,50.00,31.00,,,,
24 No Register,Stationery,,,pcs,,,,62.50,NA,0.00,Inclusive,70.00,13.00,,,,
Mom Normal,Stationery,,,KG,,,,320.00,NA,0.00,Inclusive,360.00,13.00,,,,
Signal Paper,Stationery,,,pcs,,,,3.80,NA,0.00,Inclusive,5.00,184.00,,,,
Correction Pen,Stationery,,,pcs,,,,33.33,NA,0.00,Inclusive,40.00,7.00,,,,
Gel Pen,Stationery,,,pcs,,,,11.67,NA,0.00,Inclusive,12.00,7.00,,,,
24 Wire,Stationery,,,pcs,,,,166.00,NA,0.00,Inclusive,170.00,1.00,,,,
A4 Size Paper,Stationery,,,Rim,,,,390.00,NA,0.00,Inclusive,430.00,0.00,,,,
Legal Paper,Stationery,,,Rim,,,,490.00,NA,0.00,Inclusive,530.00,1.00,,,,
Plastic Scale,Stationery,,,pcs,,,,6.00,NA,0.00,Inclusive,10.00,5.00,,,,
Stapler Pin Small,Stationery,,,Box,,,,12.00,NA,0.00,Inclusive,15.00,3.00,,,,
Stapler pin Big,Stationery,,,Box,,,,17.50,NA,0.00,Inclusive,22.00,17.00,,,,
Stapler Matching small,Stationery,,,pcs,,,,35.00,NA,0.00,Inclusive,40.00,11.00,,,,
Spray pen,Stationery,,,pcs,,,,40.00,NA,0.00,Inclusive,45.00,2.00,,,,
Master Coil-45,Stationery,,,Box,,,,40.00,NA,0.00,Inclusive,45.00,88.00,,,,
